raw_csv_parameter_name,relationship_class,direction,turning_point_1,turning_point_2,beneficial_range,harmful_range,effect_size_yield_pct,shape_fold_consistency,n_fold_curves_used,linear_cv_rmse,spline_cv_rmse,rmse_improvement_pct,linear_cv_r2,spline_cv_r2,folds_spline_better,nonlinear_advantage,evidence_label,reason,n_train_rows_used
TOPSIN_ET_DC_SMALL_Vp_01,COMPLEX_NONLINEAR,n/a,-0.876612,-0.760857,-1.029 to -0.8983,-1.217 to -1.043,1.4876,2/5,5,2.2546,2.241,0.602,-0.0026,0.0128,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0128 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_Min_S21_Mag_L1018,SATURATION,positive,12.991509,,14.99 to 16.94,12.94 to 14.89,1.4827,2/5,5,2.2189,2.2224,-0.161,0.028,0.0247,2/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0247 -- inconsistent or weak.,1200
THIN_ET_R_f_tn_1,SATURATION,positive,10.122087,,11.05 to 13.92,14.12 to 16.18,1.4806,2/5,5,2.2564,2.2379,0.819,-0.0035,0.013,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0130 -- inconsistent or weak.,1200
MEASURE_ET_DC_Big_Ids_m0p2,THRESHOLD,positive,62.543529,,61.83 to 66.1,57.09 to 61.59,1.47,0/5,5,2.2313,2.2311,0.011,0.0152,0.0121,3/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0121 -- inconsistent or weak.,1200
MEASURE_ET_Ids_m2,SATURATION,positive,65.284268,,60.13 to 62.98,57.27 to 59.91,1.4605,1/5,5,2.2496,2.2439,0.251,0.0022,0.0046,3/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0046 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3,THRESHOLD,negative,21.926041,,21.58 to 22.74,14.63 to 21.35,1.4424,2/5,5,2.2575,2.273,-0.689,-0.0044,-0.0204,2/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0204 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig_SD3p5,SATURATION,negative,21.630733,,15.03 to 21.11,13.56 to 14.82,1.4414,3/5,5,2.2632,2.2613,0.08,-0.0095,-0.0137,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0137 -- inconsistent or weak.,1200
VIA_Etch_Via_etch_end_point_time,THRESHOLD,positive,124.48776,,126 to 139.1,113.5 to 125.2,1.4264,2/5,5,2.2411,2.2308,0.458,0.0092,0.0169,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0169 -- inconsistent or weak.,1200
HIRS_M_Gauge_P_E_MoSi,PROCESS_WINDOW,n/a,48.979639,,45.44 to 49.78,42.47 to 45.21,1.4233,2/5,5,2.2562,2.2323,1.059,-0.0035,0.0179,4/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0179 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,COMPLEX_NONLINEAR,n/a,-8.839078,-7.45026,-15.44 to -10.81,-10.58 to -8.723,1.4197,2/5,5,2.2593,2.2363,1.017,-0.0059,0.0116,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0116 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_CF_S12_Ph_L1002,SATURATION,negative,-30.450982,,-26.37 to -24.4,-29.75 to -26.65,1.4163,2/5,5,2.262,2.2467,0.677,-0.0085,0.004,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0040 -- inconsistent or weak.,1200
THIN_ET_R_f_hr_2,SATURATION,positive,46.061635,,42.35 to 44.68,39.17 to 42.14,1.4112,2/5,5,2.2465,2.2427,0.172,0.0036,0.0063,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0063 -- inconsistent or weak.,1200
OHMIC_ET_Probe_Number,SATURATION,positive,1.197232,,1.093 to 2.349,4.024 to 5.071,1.383,1/5,5,2.2433,2.2376,0.254,0.0076,0.0104,3/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0104 -- inconsistent or weak.,1200
TOPSIN_ET_DC_RF_n_gd,U_SHAPED,n/a,47.249353,,45.13 to 47.55,41.69 to 44.92,1.3566,1/5,5,2.2444,2.2493,-0.214,0.0073,0.0016,3/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0016 -- inconsistent or weak.,1200
THIN_ET_Er,INVERTED_U,n/a,49.661003,,47.27 to 50.54,41.99 to 43.75,1.3406,1/5,5,2.2538,2.2423,0.509,-0.0011,0.0092,4/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0092 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_S21ang_26GHz,COMPLEX_NONLINEAR,n/a,13.944256,15.40824,15.46 to 17.38,13.89 to 15.35,1.3359,2/5,5,2.2482,2.2421,0.271,0.0032,0.0074,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0074 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos_SD3p5,THRESHOLD,positive,61.415409,,61.17 to 63.91,54.93 to 60.92,1.3127,3/5,5,2.2566,2.2528,0.167,-0.004,-0.0009,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0009 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm,THRESHOLD,negative,-0.792501,,-0.9639 to -0.7719,-1.252 to -0.9776,1.2998,2/5,5,2.2589,2.2214,1.659,-0.0069,0.0299,4/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0299 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_CF_S11_Mag_L1018,THRESHOLD,positive,15.36118,,15.53 to 17.29,12.99 to 15.42,1.296,0/5,5,2.2415,2.2463,-0.215,0.0097,0.0059,3/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0059 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_ids_m0p2_W,PROCESS_WINDOW,n/a,69.704209,,71.68 to 74.46,65.41 to 67.73,1.2837,2/5,5,2.2498,2.2404,0.416,0.0028,0.0113,5/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0113 -- inconsistent or weak.,1200
MEASURE_ET_DC_RD_S12dB_18GHz,SATURATION,positive,-19.740176,,-30.18 to -27.68,-27.4 to -20.44,1.2763,5/5,5,2.2598,2.2548,0.222,-0.0068,-0.0012,3/5,False,WEAK,Shape reproduced in 5/5 fold curves; out-of-fold R^2=-0.0012 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_Vp_01_W,THRESHOLD,positive,-0.930866,,-0.9592 to -0.789,-1.271 to -0.9734,1.2724,2/5,5,2.2515,2.2661,-0.652,-0.0016,-0.0161,0/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0161 -- inconsistent or weak.,1200
MEASURE_ET_RF_Modeling_Vp_1_W,SATURATION,positive,-0.828386,,-1.013 to -0.8152,-1.224 to -1.026,1.2711,3/5,5,2.25,2.2546,-0.204,0.0016,-0.001,2/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0010 -- inconsistent or weak.,1200
FIC_ET_DC_PIV_Ids0_QP3,SATURATION,positive,86.867399,,87.24 to 90.73,90.98 to 93.72,1.2613,4/5,5,2.2603,2.2501,0.45,-0.0068,-0.0022,3/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0022 -- inconsistent or weak.,1200
MEASURE_ET_C175pf,U_SHAPED,n/a,72.607679,,73.9 to 78.38,69.43 to 73.67,1.2527,2/5,5,2.2413,2.232,0.417,0.0075,0.0148,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0148 -- inconsistent or weak.,1200
TOPSIN_ET_G2_per_6K,SATURATION,negative,52.879212,,48.37 to 53.52,43.46 to 48.11,1.2497,2/5,5,2.2558,2.256,-0.007,-0.0074,-0.0079,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0079 -- inconsistent or weak.,1200
TOPSIN_ET_Load_Pull_PhL_set,COMPLEX_NONLINEAR,n/a,61.308185,64.767113,57.98 to 61.18,61.44 to 64.37,1.2489,2/5,5,2.2581,2.2468,0.501,-0.0049,0.0027,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0027 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_S12dB_10GHz,U_SHAPED,n/a,-22.596465,,-30.17 to -28.37,-28.12 to -22.21,1.2391,2/5,5,2.2552,2.2559,-0.028,-0.0022,-0.0047,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0047 -- inconsistent or weak.,1200
TOPSIN_ET_Cap1pf,INVERTED_U,n/a,0.884065,,0.7009 to 0.9136,0.5472 to 0.6891,1.2309,2/5,5,2.2609,2.2375,1.037,-0.0072,0.0145,4/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0145 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_Freq_cut_L1002,THRESHOLD,negative,61.272936,,57.59 to 61.4,54.54 to 57.34,1.2292,2/5,5,2.2582,2.2295,1.271,-0.0052,0.0203,5/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0203 -- inconsistent or weak.,1200
TOPSIN_ET_R_f_tn_2,THRESHOLD,positive,85.007419,,85.01 to 88.51,79.75 to 84.76,1.2292,4/5,5,2.2504,2.2524,-0.088,0.0,-0.0008,3/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0008 -- inconsistent or weak.,1200
MEASURE_ET_DC_Stress_Id_max_Ig_before,SATURATION,positive,55.651794,,50.5 to 53.57,47.21 to 50.28,1.2286,2/5,5,2.2511,2.226,1.112,-0.0004,0.0231,4/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0231 -- inconsistent or weak.,1200
MEASURE_ET_DC_Big_MAG_18GHz,U_SHAPED,n/a,14.618886,,14.67 to 16.96,13 to 14.57,1.2212,2/5,5,2.2406,2.225,0.7,0.0105,0.0255,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0255 -- inconsistent or weak.,1200
SIN_Thickness2_RefractiveIndex,SATURATION,negative,2.004862,,1.889 to 1.931,1.982 to 2.006,1.2078,2/5,5,2.2508,2.2438,0.31,0.0016,0.0079,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0079 -- inconsistent or weak.,1200
BPLATE_Height_BPLATE_metal_thickness,COMPLEX_NONLINEAR,n/a,2.041503,2.148387,2.261 to 2.392,1.952 to 2.059,1.2057,3/5,5,2.2546,2.2501,0.202,-0.0024,-0.0017,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0017 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_CF_S21_Mag_L2180,THRESHOLD,positive,15.223736,,12.86 to 13.98,14.1 to 15.45,1.198,2/5,5,2.2587,2.2451,0.604,-0.0059,0.0074,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0074 -- inconsistent or weak.,1200
TFRP_ET_TF_AB_1,SATURATION,positive,80.289686,,75.8 to 82.53,71.6 to 75.52,1.1931,1/5,5,2.244,2.2495,-0.243,0.0062,0.0018,1/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0018 -- inconsistent or weak.,1200
MEASURE_ET_Load_Pull_Pin_Last,THRESHOLD,negative,67.165634,,59.29 to 61.87,62.13 to 64.45,1.1812,2/5,5,2.2559,2.2597,-0.17,-0.0025,-0.006,1/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0060 -- inconsistent or weak.,1200
TOPSIN_ET_Vg_Vds_max,INVERTED_U,n/a,54.223966,,50.38 to 54.35,54.6 to 57.32,1.1779,1/5,5,2.256,2.2339,0.979,-0.0032,0.0178,4/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0178 -- inconsistent or weak.,1200
TOPSIN_ET_DC_RF_Vdg_max_0p1,PROCESS_WINDOW,n/a,91.089952,,89.82 to 94.91,85.58 to 89.53,1.1693,0/5,5,2.2449,2.2247,0.898,0.0058,0.0239,5/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0239 -- inconsistent or weak.,1200
THIN_ET_DC_RF_Vp_01,SATURATION,positive,-0.846872,,-1.088 to -0.9673,-1.315 to -1.101,1.1633,5/5,5,2.256,2.253,0.132,-0.0039,-0.0022,3/5,False,WEAK,Shape reproduced in 5/5 fold curves; out-of-fold R^2=-0.0022 -- inconsistent or weak.,1200
MEASURE_ET_RF_Modeling_Vp_01_W,SATURATION,positive,-0.798453,,-0.9915 to -0.7918,-1.231 to -1.005,1.1483,0/5,5,2.2564,2.2411,0.677,-0.0041,0.0113,4/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0113 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_CF_S21_Ph_L1018,THRESHOLD,negative,15.804851,,14.46 to 15.8,13.23 to 14.36,1.1458,3/5,5,2.2578,2.256,0.08,-0.0045,-0.0041,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0041 -- inconsistent or weak.,1200
MEASURE_ET_RF_Modeling_S21dB_10GHz,INVERTED_U,n/a,14.81771,,13.93 to 15,12.74 to 13.81,1.1432,2/5,5,2.2555,2.2309,1.094,-0.0028,0.0182,4/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0182 -- inconsistent or weak.,1200
MEASURE_ET_DC_RD_S12ang_18GHz,SATURATION,negative,-29.608043,,-27.59 to -24.05,-23.8 to -20.51,1.1431,3/5,5,2.2513,2.2512,0.006,-0.0001,-0.0019,4/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0019 -- inconsistent or weak.,1200
FIC_ET_Ig_mAmm_at_Vd_cond,INVERTED_U,n/a,85.573877,,79.32 to 85.16,85.43 to 88.49,1.1422,0/5,5,2.2583,2.2113,2.081,-0.0053,0.036,5/5,True,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0360 -- inconsistent or weak.,1200
BRIDGE_METAL_Height2_BRGM_Height2,THRESHOLD,positive,37.455625,,37.55 to 41.89,34.83 to 37.37,1.1381,4/5,5,2.2521,2.2523,-0.007,-0.0016,-0.0045,2/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0045 -- inconsistent or weak.,1200
MEASURE_ET_RGAN3,THRESHOLD,positive,52.271352,,52.6 to 58.21,50 to 52.38,1.1261,3/5,5,2.2566,2.2538,0.121,-0.0041,-0.0045,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0045 -- inconsistent or weak.,1200
MEASURE_ET_DC_Big_Vp_1,THRESHOLD,positive,-0.805357,,-0.8968 to -0.7983,-1.305 to -1.122,1.1127,3/5,5,2.2577,2.251,0.296,-0.005,-0.0007,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0007 -- inconsistent or weak.,1200
ANODE_ET_Ran_con_3_OW_CR,PROCESS_WINDOW,n/a,53.519947,,55.32 to 57.97,48.59 to 51.47,1.1049,3/5,5,2.2525,2.2545,-0.088,-0.0008,-0.0039,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0039 -- inconsistent or weak.,1200
MEASURE_ET_C300FB,PROCESS_WINDOW,n/a,0.744548,,0.6455 to 0.7393,0.7498 to 0.8227,1.1004,1/5,5,2.2588,2.2405,0.812,-0.0051,0.0109,4/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0109 -- inconsistent or weak.,1200
MEASURE_ET_DC_Big_Vds_max_0p1mA,THRESHOLD,negative,57.871069,,52.56 to 56.1,49.02 to 52.29,1.0913,2/5,5,2.2586,2.246,0.561,-0.0059,0.0042,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0042 -- inconsistent or weak.,1200
TOPSIN_ET_Load_Pull_Pin_Cut,THRESHOLD,positive,53.804412,,53.8 to 58.65,50.44 to 53.59,1.0877,0/5,5,2.236,2.2419,-0.264,0.0142,0.0078,4/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0078 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Vg_at_I1_pos_SD3p5,THRESHOLD,negative,60.745643,,58.39 to 62.11,55.42 to 58.14,1.0858,2/5,5,2.2538,2.227,1.191,-0.0014,0.0226,5/5,True,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0226 -- inconsistent or weak.,1200
MEASURE_ET_RF_Modeling_S21_25G_After,U_SHAPED,n/a,16.018441,,15.78 to 16.91,13.71 to 15.69,1.0809,2/5,5,2.2539,2.2342,0.876,-0.001,0.0167,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0167 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg,THRESHOLD,negative,21.871753,,19.63 to 21.67,21.87 to 23.91,1.068,4/5,5,2.2553,2.2623,-0.31,-0.0025,-0.0119,4/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0119 -- inconsistent or weak.,1200
FP2_Height1_FP2_Height1,THRESHOLD,positive,80.064151,,79.67 to 83.65,84.05 to 88.83,1.0593,2/5,5,2.2569,2.2547,0.099,-0.0041,-0.0047,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0047 -- inconsistent or weak.,1200
ANODE_ET_Ran_con_3,THRESHOLD,positive,71.091578,,71.34 to 76.69,67.19 to 71.09,1.0314,4/5,5,2.2476,2.2498,-0.095,-0.0,-0.0027,3/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0027 -- inconsistent or weak.,1200
TOPSIN_ET_Load_Pull_ID_comp_Last_mA,COMPLEX_NONLINEAR,n/a,59.726388,63.627951,59.61 to 63.51,56.86 to 59.38,1.0252,2/5,5,2.2583,2.2363,0.974,-0.0056,0.0125,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0125 -- inconsistent or weak.,1200
MEASURE_ET_RF_Modeling_Cds,INVERTED_U,n/a,21.283732,,17.28 to 21.63,14.77 to 17.05,1.0215,2/5,5,2.2592,2.2376,0.957,-0.0065,0.013,5/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0130 -- inconsistent or weak.,1200
TOPSIN_ET_C385pf_0,SATURATION,positive,93.156121,,87.43 to 90.81,83.52 to 87.17,0.9861,1/5,5,2.2495,2.2433,0.273,0.0027,0.0059,2/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0059 -- inconsistent or weak.,1200
MEASURE_ET_DC_RD_Vboff,THRESHOLD,negative,43.790158,,41.54 to 44.01,39.3 to 41.32,0.9778,5/5,5,2.2589,2.2542,0.207,-0.0053,-0.0022,4/5,False,WEAK,Shape reproduced in 5/5 fold curves; out-of-fold R^2=-0.0022 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_FPSD3p2,PROCESS_WINDOW,n/a,25.877669,,25.77 to 28.67,23.08 to 25.54,0.9738,1/5,5,2.2558,2.2424,0.596,-0.0028,0.0073,3/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0073 -- inconsistent or weak.,1200
SIN_ET_DC_RF_Vds_max,THRESHOLD,positive,70.679847,,70.36 to 73.16,64.75 to 70.14,0.9601,1/5,5,2.2464,2.2367,0.431,0.004,0.0138,3/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0138 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF_Vbon_min,COMPLEX_NONLINEAR,n/a,19.305832,21.480676,19.21 to 21.58,21.78 to 25.73,0.9581,2/5,5,2.2506,2.2364,0.635,0.0012,0.0133,5/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0133 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg1_FPSD3p2,THRESHOLD,positive,57.663826,,57.56 to 62.94,54.87 to 57.35,0.9541,3/5,5,2.2541,2.2573,-0.141,-0.0018,-0.0076,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0076 -- inconsistent or weak.,1200
MEASURE_ET_DC_RD_Vg_Vbon_max,THRESHOLD,positive,60.616626,,60.4 to 63.25,55.57 to 60.18,0.9355,2/5,5,2.2487,2.2382,0.465,0.004,0.0131,5/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0131 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3,THRESHOLD,positive,95.429641,,94.46 to 101.1,90.31 to 94.19,0.9332,2/5,5,2.2511,2.2501,0.045,0.0019,0.0034,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0034 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_FPSD3p2,THRESHOLD,positive,74.314806,,74.31 to 76.8,69.09 to 74.07,0.9331,0/5,5,2.2561,2.2428,0.59,-0.0033,0.0097,4/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0097 -- inconsistent or weak.,1200
MEASURE_ET_DC_Big_S11dB_10GHz,SATURATION,negative,-7.414361,,-11.13 to -7.633,-14.19 to -11.35,0.9292,3/5,5,2.2537,2.2594,-0.254,-0.001,-0.0068,2/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0068 -- inconsistent or weak.,1200
MEASURE_ET_Load_Pull_GL_meas,THRESHOLD,negative,58.688561,,55.34 to 57.73,57.97 to 60.84,0.925,2/5,5,2.2584,2.2477,0.474,-0.0053,0.0049,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=0.0049 -- inconsistent or weak.,1200
ABVIA_CD_AB_VIA_litho,THRESHOLD,positive,0.894196,,0.8974 to 0.9209,0.876 to 0.8953,0.8982,3/5,5,2.2542,2.2573,-0.14,-0.0012,-0.0049,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0049 -- inconsistent or weak.,1200
THIN_ET_Ran_con_3,THRESHOLD,negative,92.698854,,90.24 to 93.09,93.35 to 95.93,0.8965,3/5,5,2.2553,2.252,0.146,-0.0027,-0.0,4/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0000 -- inconsistent or weak.,1200
FIC_ET_DC_RF_Vg_max_Vd,SATURATION,positive,4.760166,,4.466 to 5.448,-1.427 to 0.9303,0.8394,3/5,5,2.2563,2.2535,0.122,-0.0034,-0.0025,3/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0025 -- inconsistent or weak.,1200
BRGM_Height3_TOP_metal_thickness,THRESHOLD,positive,2.076474,,2.047 to 2.248,2.26 to 2.402,0.819,0/5,5,2.2536,2.25,0.16,-0.0008,0.0038,2/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0038 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg2_FPSD3p2,SATURATION,positive,26.022542,,26.22 to 31.08,31.28 to 33.03,0.7685,3/5,5,2.2565,2.2627,-0.278,-0.0034,-0.0089,0/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0089 -- inconsistent or weak.,1200
SIN_GATE_ET_R414,THRESHOLD,positive,96.749359,,95.62 to 102.4,91.93 to 95.33,0.7593,3/5,5,2.2582,2.2533,0.217,-0.0065,-0.0022,5/5,False,WEAK,Shape reproduced in 3/5 fold curves; out-of-fold R^2=-0.0022 -- inconsistent or weak.,1200
MEASURE_ET_DC_RF2_S21dB_26GHz,THRESHOLD,positive,15.623579,,15.9 to 17,13.92 to 15.79,0.7393,0/5,5,2.2533,2.2471,0.276,-0.0002,0.0049,4/5,False,WEAK,Shape reproduced in 0/5 fold curves; out-of-fold R^2=0.0049 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_S_Vg_at_I3_neg_SD3p5,THRESHOLD,positive,56.410666,,56.29 to 60.74,51.83 to 56.04,0.7329,5/5,5,2.2643,2.2538,0.463,-0.0131,-0.0046,4/5,False,WEAK,Shape reproduced in 5/5 fold curves; out-of-fold R^2=-0.0046 -- inconsistent or weak.,1200
MEASURE_ET_DC_PIV_Ids0_QP3,THRESHOLD,negative,26.732635,,23.7 to 26.64,26.82 to 29.21,0.6975,4/5,5,2.2617,2.2524,0.413,-0.0085,-0.0014,4/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0014 -- inconsistent or weak.,1200
SIN_Thickness1_RefractiveIndex,THRESHOLD,negative,1.919008,,1.946 to 1.978,1.981 to 2.006,0.6907,2/5,5,2.2593,2.2671,-0.345,-0.0059,-0.0153,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0153 -- inconsistent or weak.,1200
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_SD3p5,SATURATION,positive,82.414261,,75.59 to 79.07,72.92 to 75.33,0.6699,1/5,5,2.2576,2.25,0.339,-0.0046,0.0003,3/5,False,WEAK,Shape reproduced in 1/5 fold curves; out-of-fold R^2=0.0003 -- inconsistent or weak.,1200
FIC_ET_Probe_Number,SATURATION,negative,4.929079,,3.509 to 4.982,0.9844 to 3.404,0.6656,2/5,5,2.2556,2.2626,-0.308,-0.003,-0.0086,2/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0086 -- inconsistent or weak.,1200
THIN_Measure2GN_Thickness_after_grinding,THRESHOLD,negative,111.011954,,104.9 to 109.7,110.1 to 116.4,0.6311,2/5,5,2.2603,2.26,0.013,-0.0075,-0.0078,3/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0078 -- inconsistent or weak.,1200
MESA_Height_Mesa_Height,SATURATION,positive,0.154544,,0.1377 to 0.1461,0.1468 to 0.1545,0.5957,4/5,5,2.2597,2.2595,0.007,-0.0068,-0.0067,2/5,False,WEAK,Shape reproduced in 4/5 fold curves; out-of-fold R^2=-0.0067 -- inconsistent or weak.,1200
GATE2_CD_330nm_Gate_Win_Length,SATURATION,negative,0.537089,,0.5605 to 0.5793,0.5378 to 0.5592,0.5084,2/5,5,2.2593,2.263,-0.164,-0.0058,-0.0087,2/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0087 -- inconsistent or weak.,1200
MESA_CD_Mesa_CD_Radius,THRESHOLD,positive,0.986128,,0.9933 to 1.024,0.9583 to 0.9913,0.4964,2/5,5,2.2588,2.2563,0.111,-0.0052,-0.0031,4/5,False,WEAK,Shape reproduced in 2/5 fold curves; out-of-fold R^2=-0.0031 -- inconsistent or weak.,1200
