parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
MEASURE_ET_C100C300pf,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1205,2.1022,0.863,0.1111,0.1286,0.0175,4/5,"MEASURE_ET_C100C300pf=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100C300pf=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0175."
MEASURE_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1096,2.0985,0.528,0.1218,0.132,0.0102,4/5,"MEASURE_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0102."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1891,2.1723,0.77,0.0537,0.0662,0.0125,4/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=low","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, MEASURE_ET_lkg_C300pf=high, THIN_ET_TF_AB_2=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0125."
MEASURE_ET_C100CapPARCAP,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.121,2.0994,1.02,0.1112,0.1311,0.0199,4/5,"MEASURE_ET_C100CapPARCAP=low, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_C100CapPARCAP=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0199."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.189,2.1718,0.786,0.0536,0.0681,0.0145,4/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0145."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0866,2.0671,0.939,0.1427,0.156,0.0133,3/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_DC_RF2_S22dB_26GHz=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_DC_RF2_S22dB_26GHz=low, TOPSIN_ET_lkg_C450pf=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0133 -- majority but not unanimous.
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0513,2.0256,1.253,0.1692,0.1884,0.0192,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_DC_RF_Vg_optt3=high, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_DC_RF_Vg_optt3=high, TOPSIN_ET_lkg_C450pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0192."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,1.9863,1.9645,1.1,0.2171,0.2309,0.0138,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, TOPSIN_ET_CapPARCAP_0=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, TOPSIN_ET_CapPARCAP_0=high, TOPSIN_ET_lkg_C450pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0138."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_OG142,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,1.9379,1.9049,1.704,0.2485,0.2701,0.0216,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_Rc_OG142=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_Rc_OG142=high, TOPSIN_ET_lkg_C450pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0216."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0619,2.0409,1.016,0.1613,0.1773,0.016,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_Rc_cat_ct2=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_Rc_cat_ct2=high, TOPSIN_ET_lkg_C450pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0160."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_f_hr_23,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0747,2.058,0.804,0.1508,0.1623,0.0115,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_Rc_f_hr_23=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_Rc_f_hr_23=high, TOPSIN_ET_lkg_C450pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0115."
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,c_residual_conditional_structure,2.1415,2.1312,0.479,0.0856,0.0967,0.0111,4/5,"MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high","MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low",MODERATE,Full 3-way model beat lower-order in 4/5 folds with incremental R^2=0.0111 -- majority but not unanimous.
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.163,2.1481,0.692,0.0739,0.0887,0.0148,4/5,"MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0148."
MEASURE_ET_lkg_C300,MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1746,2.1572,0.801,0.0653,0.0791,0.0137,4/5,"MEASURE_ET_lkg_C300=low, MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=low","MEASURE_ET_lkg_C300=high, MEASURE_ET_lkg_C300pf=high, THIN_ET_TF_AB_2=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0137."
MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,a_chaining_confirmed_pairs,2.1208,2.1078,0.609,0.1148,0.1248,0.0101,4/5,"MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_DC_SMALL_Vdg_max=high","MEASURE_ET_lkg_10=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_DC_SMALL_Vdg_max=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0101."
MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,a_chaining_confirmed_pairs,2.0733,2.0457,1.332,0.1455,0.1695,0.024,4/5,"MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapPARCAP_0=low","MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapPARCAP_0=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0240."
MEASURE_ET_lkg_10,THIN_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.078,2.0493,1.38,0.14,0.1664,0.0263,4/5,"MEASURE_ET_lkg_10=high, THIN_ET_Rcat_cn_3=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, THIN_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0263."
FIC_ET_Rc_f_tn_23,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0636,2.0506,0.63,0.1573,0.1694,0.0121,4/5,"FIC_ET_Rc_f_tn_23=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","FIC_ET_Rc_f_tn_23=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0121."
FIC_ET_Rc_f_tn_23,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0705,2.054,0.793,0.1523,0.1671,0.0149,4/5,"FIC_ET_Rc_f_tn_23=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","FIC_ET_Rc_f_tn_23=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0149."
FIC_ET_Rc_f_tn_23,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.0754,2.0627,0.611,0.1494,0.1612,0.0118,3/5,"FIC_ET_Rc_f_tn_23=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","FIC_ET_Rc_f_tn_23=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0118 -- majority but not unanimous.
MEASURE_ET_C100C300pf,MEASURE_ET_C100USV_Cappf,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1008,2.0839,0.807,0.1302,0.1461,0.0159,3/5,"MEASURE_ET_C100C300pf=high, MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100C300pf=high, MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0159 -- majority but not unanimous.
MEASURE_ET_C100C300pf,THIN_ET_C200_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1123,2.099,0.632,0.1196,0.1322,0.0126,4/5,"MEASURE_ET_C100C300pf=low, THIN_ET_C200_0=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100C300pf=high, THIN_ET_C200_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0126."
MEASURE_ET_C100C300pf,TOPSIN_ET_C100CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1183,2.0924,1.22,0.1133,0.1375,0.0242,4/5,"MEASURE_ET_C100C300pf=low, TOPSIN_ET_C100CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100C300pf=high, TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0242."
SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,a_chaining_confirmed_pairs,2.178,2.1269,2.346,0.057,0.1047,0.0477,4/5,"SIN_CAPACITOR_ThicknessGN1_SiN_Thickness=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high","SIN_CAPACITOR_ThicknessGN1_SiN_Thickness=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0477."
THIN_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0998,2.0857,0.671,0.1296,0.1403,0.0107,4/5,"THIN_ET_Rcat_cn_1=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0107."
THIN_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0612,2.0405,1.003,0.1539,0.1727,0.0188,4/5,"THIN_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0188."
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_5,c_residual_conditional_structure,2.1605,2.147,0.625,0.0742,0.0866,0.0125,4/5,"THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high, TOPSIN_ET_lkg_5=low","THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high, TOPSIN_ET_lkg_5=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0125."
MEASURE_ET_lkg_50,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1594,2.1435,0.74,0.0799,0.0923,0.0124,4/5,"MEASURE_ET_lkg_50=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_50=high, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0124."
MEASURE_ET_lkg_Cap_USV,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.148,2.1179,1.397,0.0911,0.1134,0.0224,4/5,"MEASURE_ET_lkg_Cap_USV=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_lkg_Cap_USV=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0224."
MEASURE_ET_lkg_C385pf,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1588,2.1465,0.57,0.08,0.0918,0.0118,4/5,"MEASURE_ET_lkg_C385pf=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0118."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rcat_cn_2,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0843,2.0674,0.81,0.1436,0.1588,0.0152,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_Rcat_cn_2=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_Rcat_cn_2=high, TOPSIN_ET_lkg_C450pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0152."
THIN_ET_C200_0,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.157,2.141,0.738,0.0779,0.0938,0.0159,4/5,"THIN_ET_C200_0=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=low","THIN_ET_C200_0=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0159."
THIN_ET_C200_0,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1497,2.1058,2.041,0.0772,0.1211,0.0439,3/5,"THIN_ET_C200_0=low, TOPSIN_ET_C100CapUSV=high, TOPSIN_ET_lkg_CapFICM1=high","THIN_ET_C200_0=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0439 -- majority but not unanimous.
THIN_ET_C200_0,TOPSIN_ET_C100CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1662,2.1393,1.24,0.0668,0.095,0.0282,3/5,"THIN_ET_C200_0=low, TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=low","THIN_ET_C200_0=low, TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0282 -- majority but not unanimous.
SIN_GATE_ET_lkg_5,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,c_residual_conditional_structure,2.117,2.1057,0.534,0.1083,0.1194,0.0112,3/5,"SIN_GATE_ET_lkg_5=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high","SIN_GATE_ET_lkg_5=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0112 -- majority but not unanimous.
SIN_GATE_ET_OHMC,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1178,2.0993,0.872,0.1157,0.1297,0.014,4/5,"SIN_GATE_ET_OHMC=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","SIN_GATE_ET_OHMC=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0140."
SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0728,2.0512,1.038,0.1555,0.1713,0.0158,4/5,"SIN_GATE_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","SIN_GATE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0158."
THIN_ET_DC_RF_Vg_optt3,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1087,2.0936,0.712,0.126,0.1379,0.0119,3/5,"THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0119 -- majority but not unanimous.
THIN_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1078,2.0958,0.569,0.1202,0.132,0.0118,3/5,"THIN_ET_Rc_cat_ct2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_Rc_cat_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0118 -- majority but not unanimous.
TOPSIN_ET_C300,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1437,2.1225,0.993,0.0903,0.1101,0.0198,4/5,"TOPSIN_ET_C300=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C300=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0198."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_RF_Modeling_Gm,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1163,2.0983,0.848,0.1162,0.1293,0.0132,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_RF_Modeling_Gm=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_RF_Modeling_Gm=high, TOPSIN_ET_C100Cap1pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0132."
TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_lkg_SY07_10,c_residual_conditional_structure,2.1142,2.1009,0.626,0.1087,0.1219,0.0132,4/5,"TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high, TOPSIN_ET_lkg_SY07_10=low","TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low, TOPSIN_ET_lkg_SY07_10=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0132."
TOPSIN_ET_CapFICM1,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1401,2.1157,1.143,0.0924,0.1156,0.0232,4/5,"TOPSIN_ET_CapFICM1=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_CapFICM1=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0232."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs+b_tree_path_cooccurrence,2.075,2.0581,0.814,0.1481,0.1634,0.0153,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0153."
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C300,a_chaining_confirmed_pairs,2.1441,2.1141,1.399,0.0863,0.1155,0.0292,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C300=low","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_C300=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0292."
THIN_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1204,2.097,1.106,0.1098,0.1317,0.022,4/5,"THIN_ET_Rc_cat_ct2=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_Rc_cat_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0220."
THIN_ET_C200_0,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1504,2.1195,1.438,0.081,0.1121,0.0312,3/5,"THIN_ET_C200_0=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","THIN_ET_C200_0=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0312 -- majority but not unanimous.
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_RF_K_W,SIN_ET_DC_RF_Vbin_gs,b_tree_path_cooccurrence,2.1532,2.1529,0.011,0.0868,0.0868,0.0,3/5,"MEASURE_ET_DC_Big_S12dB_10GHz=low, MEASURE_ET_DC_RF_K_W=high, SIN_ET_DC_RF_Vbin_gs=high","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_RF_K_W=high, SIN_ET_DC_RF_Vbin_gs=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0000 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1683,2.1699,-0.077,0.0777,0.0763,-0.0014,4/5,"MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_RF2_S22dB_26GHz=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=-0.0014 -- inconsistent."
